,Image Name,ratio
209,2.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
210,2.pdf_Page 1.jpg_in_logo_EDF.png,0.0
211,2.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.01
212,2.pdf_Page 1.jpg_in_logo_enercorp.png,0.01
213,2.pdf_Page 1.jpg_in_logo_engie.png,0.0
214,2.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
215,2.pdf_Page 1.jpg_in_logo_free.png,0.0
216,2.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
217,2.pdf_Page 1.jpg_in_logo_lcl.png,0.0
218,2.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
219,2.pdf_Page 1.jpg_in_logo_orange.png,0.0
220,2.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
221,2.pdf_Page 1.jpg_in_logo_sfr.png,0.0
222,2.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
223,2.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
224,24.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
225,24.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
226,24.pdf_Page 1.jpg_in_logo_EDF.png,0.0
227,24.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.01
228,24.pdf_Page 1.jpg_in_logo_enercorp.png,0.0
229,24.pdf_Page 1.jpg_in_logo_engie.png,0.0
230,24.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
231,24.pdf_Page 1.jpg_in_logo_free.png,0.0
232,24.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
233,24.pdf_Page 1.jpg_in_logo_lcl.png,0.0
234,24.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.04
235,24.pdf_Page 1.jpg_in_logo_orange.png,0.1
236,24.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.44
237,24.pdf_Page 1.jpg_in_logo_sfr.png,0.0
238,24.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
239,24.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
240,24.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.0
241,24.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
242,24.pdf_Page 2.jpg_in_logo_EDF.png,0.0
243,24.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.01
244,24.pdf_Page 2.jpg_in_logo_enercorp.png,0.0
245,24.pdf_Page 2.jpg_in_logo_engie.png,0.0
246,24.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
247,24.pdf_Page 2.jpg_in_logo_free.png,0.0
248,24.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.0
249,24.pdf_Page 2.jpg_in_logo_lcl.png,0.0
250,24.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.04
251,24.pdf_Page 2.jpg_in_logo_orange.png,0.1
252,24.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.44
253,24.pdf_Page 2.jpg_in_logo_sfr.png,0.0
254,24.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
255,24.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
256,24.pdf_Page 3.jpg_in_logo_bouygues_screenshot.JPG,0.0
257,24.pdf_Page 3.jpg_in_logo_bouygues_telecom.png,0.0
258,24.pdf_Page 3.jpg_in_logo_EDF.png,0.0
259,24.pdf_Page 3.jpg_in_logo_EDF_screenshot.PNG,0.01
260,24.pdf_Page 3.jpg_in_logo_enercorp.png,0.0
261,24.pdf_Page 3.jpg_in_logo_engie.png,0.0
262,24.pdf_Page 3.jpg_in_logo_engie_screenshot.JPG,0.0
263,24.pdf_Page 3.jpg_in_logo_free.png,0.0
264,24.pdf_Page 3.jpg_in_logo_free_screenshot.JPG,0.0
265,24.pdf_Page 3.jpg_in_logo_lcl.png,0.0
266,24.pdf_Page 3.jpg_in_logo_LCL_screenshot.JPG,0.04
267,24.pdf_Page 3.jpg_in_logo_orange.png,0.1
268,24.pdf_Page 3.jpg_in_logo_orange_screenshot.JPG,0.44
269,24.pdf_Page 3.jpg_in_logo_sfr.png,0.0
270,24.pdf_Page 3.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
271,24.pdf_Page 3.jpg_in_logo_societe_generale.png,0.0
272,3.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
273,3.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
274,3.pdf_Page 1.jpg_in_logo_EDF.png,0.0
275,3.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.06
276,3.pdf_Page 1.jpg_in_logo_enercorp.png,0.01
277,3.pdf_Page 1.jpg_in_logo_engie.png,0.0
278,3.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
279,3.pdf_Page 1.jpg_in_logo_free.png,0.0
280,3.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
281,3.pdf_Page 1.jpg_in_logo_lcl.png,0.0
282,3.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
283,3.pdf_Page 1.jpg_in_logo_orange.png,0.02
284,3.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
285,3.pdf_Page 1.jpg_in_logo_sfr.png,0.0
286,3.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.29
287,3.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
288,32.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
289,32.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
290,32.pdf_Page 1.jpg_in_logo_EDF.png,0.0
291,32.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.01
292,32.pdf_Page 1.jpg_in_logo_enercorp.png,0.0
293,32.pdf_Page 1.jpg_in_logo_engie.png,0.0
294,32.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
295,32.pdf_Page 1.jpg_in_logo_free.png,0.0
296,32.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
297,32.pdf_Page 1.jpg_in_logo_lcl.png,0.0
298,32.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
299,32.pdf_Page 1.jpg_in_logo_orange.png,0.0
300,32.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
301,32.pdf_Page 1.jpg_in_logo_sfr.png,0.0
302,32.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
303,32.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
304,32.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.0
305,32.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
306,32.pdf_Page 2.jpg_in_logo_EDF.png,0.0
307,32.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.01
308,32.pdf_Page 2.jpg_in_logo_enercorp.png,0.0
